Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
13,K653,I.S. 653 - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,Complete,5/27/2015,12/9/2015,6/6/2016,836600,3687.0,3687.0,DSF0000798239
13,K653,I.S. 653 - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,Complete,6/7/2016,7/20/2016,5/9/2022,3764700,1096965.0,723680.0,DSF0000798239
13,K653,I.S. 653 - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,In-Progress,7/11/2022,9/3/2025,,47477050,43233666.0,40541013.0,DSF0000798239
13,K653,I.S. 653 - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",In-Progress,7/11/2022,9/3/2025,,6692800,2988362.0,1417007.0,DSF0000798239
13,K694,STEM CENTER @ CLINTON STREET - BROOKLYN,SCA CIP,ROOM CONVERSION,Scope,Complete,4/11/2016,7/7/2016,6/28/2016,71100,218717.0,218717.0,DSF0000843969
13,K694,STEM CENTER @ CLINTON STREET - BROOKLYN,SCA CIP,ROOM CONVERSION,Design,Complete,6/29/2016,12/30/2016,3/6/2017,355500,641174.0,470566.0,DSF0000843969
13,K694,STEM CENTER @ CLINTON STREET - BROOKLYN,SCA CIP,ROOM CONVERSION,Construction,In-Progress,11/20/2023,9/3/2024,,7998750,7261329.0,3014702.0,DSF0000843969
13,K694,STEM CENTER @ CLINTON STREET - BROOKLYN,SCA CIP,ROOM CONVERSION,"CM,F&E",In-Progress,11/20/2023,9/3/2024,,1241542,1756022.0,519186.0,DSF0000843969
13,K743,ADULT AND CONTINUING EDUCATION,SCA CIP,EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEMS / VENTILATION / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,Scope,Complete,1/26/2016,6/9/2016,7/22/2016,179797,97203.0,97199.0,"DSF0000843680, DSF0000851506, DSF0000851523, DSF0000851509, DSF0000851510, DSF0000866095, DSF0000851507"
13,K743,ADULT AND CONTINUING EDUCATION,SCA CIP,EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEMS / VENTILATION / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,Design,Complete,3/13/2017,8/10/2017,5/18/2018,698119,930214.0,717574.0,"DSF0000843680, DSF0000851506, DSF0000851523, DSF0000851509, DSF0000851510, DSF0000866095, DSF0000851507"
13,K743,ADULT AND CONTINUING EDUCATION,SCA CIP,EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEMS / VENTILATION / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,Construction,In-Progress,8/27/2018,5/17/2020,,11199258,15660864.0,11528084.0,"DSF0000843680, DSF0000851506, DSF0000851523, DSF0000851509, DSF0000851510, DSF0000866095, DSF0000851507"
13,K743,ADULT AND CONTINUING EDUCATION,SCA CIP,EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEMS / VENTILATION / ROOFS / WINDOWS / PARAPETS / FLOOD ELIMINATION,"CM,F&E",In-Progress,8/27/2018,5/17/2020,,1112884,1500909.0,1318024.0,"DSF0000843680, DSF0000851506, DSF0000851523, DSF0000851509, DSF0000851510, DSF0000866095, DSF0000851507"
13,K777,BROOKLYN NAVY YARD STEM CENTER,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.0,0.0,DSF0001008217
13,K777,BROOKLYN NAVY YARD STEM CENTER,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.0,0.0,DSF0001008237
13,K805,BROOKLYN INTERNATIONAL HS - K,Fast Track Projects,LSP VACUUM PUMP SET REPLACEMENT,Construction,In-Progress,4/20/2021,FTK,,FTK,104458.0,88856.0,DSF0000960820
13,K805,SCIENCE SKILLS CENTER HS - K,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,110000.0,0.0,DSF0001033089
13,K805,SCIENCE SKILLS CENTER HS - K,DOE - RESOA,FY22 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,144109.0,0.0,DSF0001033088
13,K805,BROOKLYN INTERNATIONAL HS - K,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,175000.0,0.0,DSF0001086150
13,K805,BROOKLYN INTERNATIONAL HS - K,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,5/3/2021,DOES,,DOES,316427.0,0.0,DSF0000911920
13,K813,ALC - FUNDAMENTAL ACADEMY,SCA CIP,EXTERIOR MASONRY,Scope,Complete,12/22/2023,5/9/2024,3/13/2024,15563,21213.0,16209.0,DSF0001067166
13,K813,ALC - FUNDAMENTAL ACADEMY,SCA CIP,EXTERIOR MASONRY,Design,In-Progress,3/15/2024,8/15/2024,,70035,70035.0,8130.0,DSF0001067166
13,K813,ALC - FUNDAMENTAL ACADEMY,SCA CIP,EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,902669,902669.0,1961.0,DSF0001067166
13,K813,ALC - FUNDAMENTAL ACADEMY,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,167305,167305.0,13602.0,DSF0001067166
13,K831,DIV. COMPUTER INFO-DATA CNTR - K,SCA CIP,DATA CENTER,Scope,Complete,1/20/2015,5/19/2015,6/3/2015,407874,362965.0,362965.0,DSF0000844684
13,K831,DIV. COMPUTER INFO-DATA CNTR - K,SCA CIP,DATA CENTER,Design,In-Progress,12/21/2016,8/7/2017,,2039370,2039370.0,956411.0,DSF0000844684
13,K831,DIV. COMPUTER INFO-DATA CNTR - K,SCA CIP,DATA CENTER,Construction,PNS,PNS,PNS,PNS,45885835,45885835.0,9349.0,DSF0000844684
13,K831,DIV. COMPUTER INFO-DATA CNTR - K,SCA CIP,DATA CENTER,"CM,F&E",PNS,PNS,PNS,PNS,2855119,2855119.0,8145.0,DSF0000844684
13,K831,DIV. COMPUTER INFO-DATA CNTR - K,DIIT - Project Connect,NEXT GENERATION NETWORK UPGRADE,Purch & Install,In-Progress,3/1/2019,DIIT,,DIIT,342089.0,0.0,DSF0000960596
13,K874,I.S. 340 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,6/5/2019,9/4/2019,8/15/2019,17474,20659.0,20659.0,DSF0000897381
13,K874,I.S. 340 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/4/2019,6/8/2020,6/30/2020,78634,68607.0,67206.0,DSF0000897381
13,K874,I.S. 340 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,1013507,1013507.0,5586.0,DSF0000897381
13,K874,I.S. 340 - BROOKLYN,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",PNS,PNS,PNS,PNS,187848,187848.0,20334.0,DSF0000897381
13,K874,I.S. 340 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/2/2023,6/30/2023,3/9/2023,3140,2447.0,2447.0,DSF0001034551
13,K874,I.S. 340 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/9/2023,9/1/2023,5/4/2023,14130,9789.0,9789.0,DSF0001034551
13,K874,I.S. 340 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,10/20/2023,9/13/2024,,182120,170777.0,44974.0,DSF0001034551
13,K874,I.S. 340 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,10/20/2023,9/13/2024,,112364,99851.0,39471.0,DSF0001034551
13,K874,I.S. 340 - BROOKLYN,Fast Track Projects,LEAD SERVICE LINE,Construction,In-Progress,10/17/2016,FTK,,FTK,108067.0,108067.0,DSF0000829872
13,K874,I.S. 340 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/30/2022,DOES,,DOES,332097.0,0.0,DSF0001008688
13,K902,K077 SPED - BROOKLYN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,100000.0,0.0,DSF0001086158
13,K902,K077 SPED - BROOKLYN,DOE - RESOA,RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,168527.0,0.0,DSF0001111896
13,K914,BENJAMIN BANNEKER ACAD. (HS LVL)-K,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/19/2024,DOES,,DOES,769842.0,0.0,DSF0001035193
13,K914,BENJAMIN BANNEKER ACAD. (HS LVL)-K,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,6/10/2024,DOES,,DOES,65832.0,0.0,DSF0001085477
13,K994,BEDFORD ACADEMY HS - K,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,9/8/2022,IPDV,10/11/2022,DIIS,50000.0,36212.0,DSF0001034753
13,K994,BEDFORD ACADEMY HS - K,DOE - RESOA,FY21 RESO A MEDIA CENTER UPGRADE,Construction,In-Progress,10/11/2023,DOER,,DOER,74399.0,0.0,DSF0001008228
13,K994,BEDFORD ACADEMY HS - K,DOE - RESOA,FY23 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,37945.0,0.0,DSF0001035603
13,K994,BEDFORD ACADEMY HS - K,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/29/2024,DOES,5/10/2024,DOES,65832.0,7509.0,DSF0001085479
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5/28/2024,9/26/2024,5/31/2024,4830,2162.0,2162.0,DSF0001087368
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,5/31/2024,11/27/2024,,21733,21733.0,8646.0,DSF0001087368
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,280118,280118.0,0.0,DSF0001087368
14,K016,P.S. 16 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,51918,51918.0,0.0,DSF0001087368
14,K016,P.S. 16 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/5/2024,DOES,4/17/2024,DOES,65832.0,17799.0,DSF0001083995
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,4/6/2017,11/2/2017,12/19/2017,183712,162802.0,162802.0,"DSF0000865947, DSF0001083702"
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,4/25/2018,10/25/2018,9/30/2022,910025,549395.0,470825.0,"DSF0000865947, DSF0001083702"
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,Construction,In-Progress,8/28/2023,8/16/2025,,19737609,17864482.0,462918.0,"DSF0000865947, DSF0001083702"
14,K017,P.S. 17 - BROOKLYN,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",In-Progress,8/28/2023,8/16/2025,,1349963,153531.0,150523.0,"DSF0000865947, DSF0001083702"
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,Scope,Complete,7/27/2023,11/28/2023,8/2/2023,3886,3310.0,3310.0,DSF0001035001
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,Design,Complete,8/2/2023,1/31/2024,12/20/2023,17487,13240.0,13240.0,DSF0001035001
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,Construction,In-Progress,4/16/2024,3/11/2025,,225388,201504.0,2704.0,DSF0001035001
14,K017,I.S. 577 - BROOKLYN,SCA CIP,IPDVS INSTALLATION,"CM,F&E",In-Progress,4/16/2024,3/11/2025,,41775,24892.0,3907.0,DSF0001035001
14,K017,I.S. 577 - BROOKLYN,SCA IEH,"PO18-ABATE AND REPLACE ACM FLOOR TILES LOCATIONS: ROOMS 406, 301, 302, 304, 312, 313 RMS APPROX 616",Construction,Complete,12/13/2023,IEH,1/23/2024,IEH,350183.0,350088.0,SCA0000072560
14,K017,I.S. 577 - BROOKLYN,SCA IEH,"PO18-ABATE AND REPLACE BUCKLING WOOD FLOORS IN THE FOLLOWING ROOMS ROOMS 407, 413",Construction,Complete,1/29/2024,IEH,4/16/2024,IEH,2583.0,2008.0,SCA0000072690
14,K017,P.S. 17 - BROOKLYN,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.0,0.0,DSF0001035372
14,K017,P.S. 17 - BROOKLYN,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,1/7/2022,DOES,,DOES,60651.0,0.0,DSF0000866101
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,Scope,Complete,7/8/2022,11/23/2022,8/21/2023,84605,158583.0,135690.0,"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,Design,Complete,8/31/2023,2/6/2024,1/30/2024,417512,273743.0,260177.0,"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,8917115,8917115.0,261376.0,"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,633589,633589.0,40344.0,"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874"
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,12/13/2023,12/13/2023,12/13/2023,1049,8420.0,108.0,DSF0001111878
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Design,Complete,12/13/2023,4/12/2024,1/30/2024,4722,432.0,432.0,DSF0001111878
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,60861,60861.0,0.0,DSF0001111878
14,K018,P.S. 18 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,11280,11280.0,2387.0,DSF0001111878
14,K018,P.S. 18 - BROOKLYN,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,4/9/2024,DOER,,DOER,50000.0,0.0,DSF0001085942
14,K018,P.S. 18 - BROOKLYN,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,9/22/2022,DOES,,DOES,98632.0,0.0,DSF0001034405
14,K018,P.S. 18 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/20/2024,DOES,3/27/2024,DOES,65832.0,378.0,DSF0001083996
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,Scope,Complete,6/6/2022,11/30/2022,10/4/2022,284352,500640.0,459745.0,"DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,Design,Complete,10/24/2022,6/12/2023,4/28/2023,1412403,789280.0,788108.0,"DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,Construction,In-Progress,9/4/2023,9/2/2026,,30970227,28895755.0,3091490.0,"DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE / FY22 RESO A PLAYGROUND UPGRADE / EXTERIOR MASONRY / WINDOWS / PARAPETS / ROOFS / SITE WORK / FLOOD ELIMINATION,"CM,F&E",In-Progress,9/4/2023,9/2/2026,,2060577,278156.0,247845.0,"DSF0001033563, DSF0001033564, DSF0001009765, DSF0001009764, DSF0001009763, DSF0001009762, DSF0001036321, DSF0001009759"
14,K019,P.S. 414 - BROOKLYN,DIIT - RESOA,FY 07 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,64512.0,0.0,DSF0000822695
14,K019,P.S. 414 - BROOKLYN,DOE - RESOA,FY21 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,350000.0,0.0,DSF0000961280
14,K019,P.S. 414 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/11/2024,DOES,3/21/2024,DOES,65832.0,9574.0,DSF0001083997
14,K023,P.S. 23 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,8/18/2020,1/22/2021,1/6/2021,71320,105936.0,105936.0,"DSF0000961026, DSF0000936782"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,1/8/2021,9/30/2021,7/2/2021,356600,397108.0,379713.0,"DSF0000961026, DSF0000936782"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,4/4/2022,4/2/2024,,8023500,7501138.0,7028992.0,"DSF0000961026, DSF0000936782"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,4/4/2022,4/2/2024,,499240,443568.0,442228.0,"DSF0000961026, DSF0000936782"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,6/9/2022,12/5/2022,10/4/2022,64303,225372.0,187060.0,"DSF0001009848, DSF0001009849, DSF0001009850, DSF0001009846"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,10/21/2022,6/13/2023,4/25/2023,316912,378018.0,371346.0,"DSF0001009848, DSF0001009849, DSF0001009850, DSF0001009846"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,In-Progress,7/17/2023,7/15/2025,,6732360,6260796.0,1821084.0,"DSF0001009848, DSF0001009849, DSF0001009850, DSF0001009846"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",In-Progress,7/17/2023,7/15/2025,,484642,183363.0,169505.0,"DSF0001009848, DSF0001009849, DSF0001009850, DSF0001009846"
14,K023,P.S. 23 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5/16/2024,9/17/2024,5/20/2024,5190,2564.0,2564.0,DSF0001087372
14,K023,P.S. 23 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,5/20/2024,11/15/2024,,23355,23355.0,10256.0,DSF0001087372
14,K023,P.S. 23 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,301015,301015.0,0.0,DSF0001087372
14,K023,P.S. 23 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,55792,55792.0,233.0,DSF0001087372
14,K023,P.S. 23 - BROOKLYN,SCA Emergency Response,EMERGENCY: EXTERIOR,Construction,In-Progress,6/17/2022,EMER,,EMER,353822.0,298524.0,SCA0000071239
14,K023,P.S. 23 - BROOKLYN,DOE - RESOA,FY19 RESO A CAFETERIA SUPPLEMENTAL COOLING,Construction,In-Progress,6/23/2021,DOER,,DOER,251447.0,0.0,DSF0000912522
14,K023,P.S. 23 - BROOKLYN,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,In-Progress,8/26/2023,DOER,,DOER,137464.0,0.0,DSF0001035375
14,K023,P.S. 23 - BROOKLYN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/1/2023,DOER,,DOER,767000.0,378487.0,DSF0001035376
14,K023,P.S. 23 - BROOKLYN,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,4/9/2024,DOER,,DOER,92000.0,0.0,DSF0001085944
14,K023,P.S. 23 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/18/2024,DOES,3/25/2024,DOES,65832.0,567.0,DSF0001084000
14,K031,P.S. 31 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,5/13/2019,9/26/2019,10/1/2019,137336,148068.0,148068.0,DSF0000912347
14,K031,P.S. 31 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,10/30/2019,4/20/2020,5/12/2023,686680,362024.0,342470.0,DSF0000912347
14,K031,P.S. 31 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,PNS,PNS,PNS,PNS,15450290,15450290.0,25793.0,DSF0000912347
14,K031,P.S. 31 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM,F&E",PNS,PNS,PNS,PNS,961351,961351.0,101588.0,DSF0000912347
14,K031,P.S. 31 - BROOKLYN,SCA IEH,PO18-ABATE CRUMBLING CEILING IN WOMENS BATHROOM CEILING IS POSITIVE ACM IN AHERA BOOK BATHROOM HAS B,Construction,Complete,5/7/2024,IEH,6/12/2024,IEH,575.0,0.0,SCA0000072989
14,K031,P.S. 31 - BROOKLYN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.0,0.0,DSF0001008210
14,K031,P.S. 31 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,250000.0,0.0,DSF0001033448
14,K031,P.S. 31 - BROOKLYN,DOE - RESOA,FY21 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,78000.0,0.0,DSF0001008205
14,K031,P.S. 31 - BROOKLYN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,300000.0,0.0,DSF0001085950
14,K031,P.S. 31 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/19/2024,DOES,5/28/2024,DOES,65832.0,7367.0,DSF0001084005
14,K033,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,9/21/2018,2/27/2019,11/20/2018,114090,78432.0,78432.0,"DSF0000890591, DSF0000868912"
14,K033,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,12/6/2018,5/9/2019,4/26/2019,456360,364114.0,353268.0,"DSF0000890591, DSF0000868912"
14,K033,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,Complete,7/15/2019,7/13/2021,9/15/2022,8556750,7560159.0,7225764.0,"DSF0000890591, DSF0000868912"
14,K033,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",Complete,7/15/2019,7/13/2021,9/15/2022,532420,680232.0,680232.0,"DSF0000890591, DSF0000868912"
14,K033,K368 SPED - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,5/26/2022,11/21/2022,9/26/2022,203999,234918.0,198169.0,"DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,K033,K368 SPED - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,9/28/2022,6/12/2023,4/13/2023,1020000,348875.0,348696.0,"DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,K033,K368 SPED - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,12/4/2023,4/6/2027,,22950000,21037150.0,2114931.0,"DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,K033,K368 SPED - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,12/4/2023,4/6/2027,,1428001,119949.0,101592.0,"DSF0001009995, DSF0001009996, DSF0001009997, DSF0001036324"
14,K033,K368 SPED - BROOKLYN,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,Scope,Complete,6/10/2022,10/12/2022,10/12/2022,0,17938.0,17938.0,DSF0001033076
14,K033,K368 SPED - BROOKLYN,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,Design,Complete,10/17/2022,3/7/2023,3/20/2023,44520,69350.0,57481.0,DSF0001033076
14,K033,K368 SPED - BROOKLYN,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,12/5/2023,10/29/2024,,652960,394270.0,1300.0,DSF0001033076
14,K033,K368 SPED - BROOKLYN,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,"CM,F&E",In-Progress,12/5/2023,10/29/2024,,44520,64853.0,36209.0,DSF0001033076
